Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsQty,DefectsDescriptionqty,Defects %,DefectStatus,Check,FPY,DPPM
2024-09-28,39,September,2024,QCII-03,CLA5,Battery cover scratch,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-03,CLA5,The front/rear camera rubber cover is skewed,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-03,CLA5,Battery cover gap too large,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-06,KL5,Battery cover scratch,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-06,KL5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-06,KL5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-06,KL5,Mid housing scratch,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,TP failure,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,TP failure,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,TP failure,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Battery cover scratch,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,QCII-06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,QCII-06,KL5,Theindicatorlight/flashisnotbright/weak,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,QCII-06,KL5,No vibration,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,A03,CLA5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A09,CLA5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A09,CLA5,Camera fuzziness,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,Automatic restart,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,Camera fuzziness,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A09,CLA5,Failed to obtain port,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Battery cover scratch,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A09,CLA5,Mobile phone is not charged and unstable,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,Mobile phone is not charged and unstable,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,QCII-06,KL5,The back camera has a bad white spot,,,1,,Scanned,QCII,,
2024-09-28,39,September,2024,A03,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,Sub board Losing things,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A03,CLA5,Camera macro lens is not good,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A06,KL5,Battery cover scratch,,,1,,Scanned,Assembly,,
2024-09-28,39,September,2024,A09,CLA5,phone screen Display abnormal,,,1,,Scanned,Assembly,,
