Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsQty,DefectsDescriptionqty,Defects %,DefectStatus,Check,FPY,DPPM
2024-08-01,31,August,2024,A04,X6525,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,card Slot defect/with foreign body,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A06,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,TP gap,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Power not on/auto restart,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Battery cover gap too large,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A14,BG6,Camera not working,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A14,BG6,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A14,BG6,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A02,BG7,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A06,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,BG6,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Material code change,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A14,BG6,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Side key fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A05,A663LC,"front camer auneven screen,black screen,black shadow",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,TP scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,TP scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,TP scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,TP scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,BG6,Camera not working,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,BG6,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A06,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Side key fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,CL6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,BG6,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,NFC card identification test,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A06,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A11,KJ7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,CL6,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A01,A665L,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A10,X6837,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A04,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A10,X6837,Camera not working,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A05,X6528,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A18,KJ7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A03,BG6,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
